id,type,title,start_date,end_date
DONE-133,Improvement,Completed Item 133,2026-02-28,2026-03-06
WIP-40,Story,WIP Item 40,2026-02-28,
DONE-10,Bug,Completed Item 10,2026-03-01,2026-03-21
WIP-30,Task,WIP Item 30,2026-03-01,
DONE-18,Improvement,Completed Item 18,2026-03-02,2026-03-19
DONE-70,Story,Completed Item 70,2026-03-02,2026-03-12
DONE-83,Bug,Completed Item 83,2026-03-02,2026-03-07
DONE-71,Task,Completed Item 71,2026-03-03,2026-03-12
DONE-86,Improvement,Completed Item 86,2026-03-03,2026-03-08
WIP-37,Story,WIP Item 37,2026-03-03,
DONE-55,Bug,Completed Item 55,2026-03-04,2026-03-08
WIP-20,Task,WIP Item 20,2026-03-04,
DONE-115,Improvement,Completed Item 115,2026-03-05,2026-03-22
DONE-110,Story,Completed Item 110,2026-03-07,2026-03-09
WIP-41,Bug,WIP Item 41,2026-03-07,
DONE-74,Task,Completed Item 74,2026-03-09,2026-03-12
DONE-97,Improvement,Completed Item 97,2026-03-10,2026-03-16
WIP-23,Story,WIP Item 23,2026-03-10,
WIP-39,Bug,WIP Item 39,2026-03-10,
WIP-47,Task,WIP Item 47,2026-03-10,
WIP-33,Improvement,WIP Item 33,2026-03-11,
WIP-5,Story,WIP Item 5,2026-03-12,
WIP-12,Bug,WIP Item 12,2026-03-13,
WIP-19,Task,WIP Item 19,2026-03-13,
WIP-46,Improvement,WIP Item 46,2026-03-13,
WIP-25,Story,WIP Item 25,2026-03-15,
WIP-50,Bug,WIP Item 50,2026-03-16,
WIP-3,Task,WIP Item 3,2026-03-17,
WIP-7,Improvement,WIP Item 7,2026-03-17,
WIP-42,Story,WIP Item 42,2026-03-17,
WIP-14,Bug,WIP Item 14,2026-03-18,
WIP-28,Task,WIP Item 28,2026-03-18,
WIP-4,Improvement,WIP Item 4,2026-03-19,
WIP-22,Story,WIP Item 22,2026-03-19,
WIP-9,Bug,WIP Item 9,2026-03-20,
WIP-11,Task,WIP Item 11,2026-03-20,
WIP-17,Improvement,WIP Item 17,2026-03-21,
WIP-45,Story,WIP Item 45,2026-03-22,
WIP-32,Bug,WIP Item 32,2026-03-23,
WIP-26,Task,WIP Item 26,2026-03-24,
WIP-2,Improvement,WIP Item 2,2026-03-25,
WIP-36,Story,WIP Item 36,2026-03-25,
WIP-29,Bug,WIP Item 29,2026-03-26,
WIP-38,Task,WIP Item 38,2026-03-27,
WIP-34,Improvement,WIP Item 34,2026-03-28,
WIP-31,Story,WIP Item 31,2026-04-01,
WIP-43,Bug,WIP Item 43,2026-04-02,
WIP-13,Task,WIP Item 13,2026-04-04,
WIP-18,Improvement,WIP Item 18,2026-04-05,
WIP-27,Story,WIP Item 27,2026-04-05,
WIP-8,Bug,WIP Item 8,2026-04-06,
WIP-10,Task,WIP Item 10,2026-04-06,
WIP-35,Improvement,WIP Item 35,2026-04-06,
WIP-6,Story,WIP Item 6,2026-04-09,
WIP-1,Bug,WIP Item 1,2026-04-11,
WIP-16,Task,WIP Item 16,2026-04-11,
WIP-49,Improvement,WIP Item 49,2026-04-11,
